      Time        Reactivity      Generation  Normalization     Relative
                                    Time         Factor          Power
   0.000000E-00   0.000000E-00   2.571145E-05   1.000000E+00   1.000000E-06
   1.000000E-03   2.490108E-04   2.571145E-05   1.000034E+00   1.000078E-06
   2.000000E-03   5.626118E-04   2.571149E-05   1.000088E+00   1.000221E-06
   3.000000E-03   9.798401E-04   2.571157E-05   1.000169E+00   1.000460E-06
   4.000000E-03   1.636867E-03   2.571163E-05   1.000266E+00   1.000810E-06
   5.000000E-03   2.441198E-03   2.571171E-05   1.000387E+00   1.001305E-06
   6.000000E-03   3.472841E-03   2.571182E-05   1.000542E+00   1.001974E-06
   7.000000E-03   4.825114E-03   2.571195E-05   1.000744E+00   1.002862E-06
   8.000000E-03   6.548127E-03   2.571208E-05   1.000944E+00   1.003980E-06
   9.000000E-03   8.431524E-03   2.571220E-05   1.001112E+00   1.005293E-06
   1.000000E-02   1.064335E-02   2.571233E-05   1.001301E+00   1.006865E-06
   1.100000E-02   1.320646E-02   2.571249E-05   1.001525E+00   1.008762E-06
   1.200000E-02   1.624126E-02   2.571267E-05   1.001779E+00   1.010996E-06
   1.300000E-02   1.988722E-02   2.571288E-05   1.002083E+00   1.013653E-06
   1.400000E-02   2.434662E-02   2.571313E-05   1.002450E+00   1.016846E-06
   1.500000E-02   2.994886E-02   2.571342E-05   1.002907E+00   1.020748E-06
   1.600000E-02   3.550142E-02   2.571380E-05   1.003340E+00   1.025245E-06
   1.700000E-02   4.027337E-02   2.571417E-05   1.003599E+00   1.029932E-06
   1.800000E-02   4.552198E-02   2.571446E-05   1.003744E+00   1.034747E-06
   1.900000E-02   5.170504E-02   2.571472E-05   1.003880E+00   1.039939E-06
   2.000000E-02   5.897962E-02   2.571501E-05   1.004028E+00   1.045725E-06
   2.100000E-02   6.779097E-02   2.571533E-05   1.004203E+00   1.052358E-06
   2.200000E-02   7.844254E-02   2.571569E-05   1.004414E+00   1.060140E-06
   2.300000E-02   9.179284E-02   2.571610E-05   1.004672E+00   1.069488E-06
   2.400000E-02   1.059563E-01   2.571666E-05   1.004933E+00   1.080548E-06
   2.500000E-02   1.157148E-01   2.571746E-05   1.005043E+00   1.092324E-06
   2.600000E-02   1.247364E-01   2.571809E-05   1.004947E+00   1.103877E-06
   2.700000E-02   1.354541E-01   2.571851E-05   1.004721E+00   1.115484E-06
   2.800000E-02   1.476260E-01   2.571895E-05   1.004410E+00   1.127669E-06
   2.900000E-02   1.622231E-01   2.571937E-05   1.004033E+00   1.140954E-06
   3.000000E-02   1.797726E-01   2.571981E-05   1.003572E+00   1.155964E-06
   3.100000E-02   2.015331E-01   2.572027E-05   1.003004E+00   1.173500E-06
   3.200000E-02   2.276965E-01   2.572080E-05   1.002301E+00   1.194493E-06
   3.300000E-02   2.432792E-01   2.572199E-05   1.001604E+00   1.217627E-06
   3.400000E-02   2.552855E-01   2.572304E-05   1.001002E+00   1.240514E-06
   3.500000E-02   2.698523E-01   2.572360E-05   1.000281E+00   1.262973E-06
   3.600000E-02   2.855226E-01   2.572420E-05   9.993604E-01   1.285724E-06
   3.700000E-02   3.042895E-01   2.572470E-05   9.982846E-01   1.309632E-06
   3.800000E-02   3.263044E-01   2.572518E-05   9.969917E-01   1.335692E-06
   3.900000E-02   3.533136E-01   2.572561E-05   9.954304E-01   1.365157E-06
   4.000000E-02   3.869224E-01   2.572602E-05   9.935003E-01   1.399752E-06
   4.100000E-02   4.085535E-01   2.572720E-05   9.916290E-01   1.438597E-06
   4.200000E-02   4.224609E-01   2.572848E-05   9.902992E-01   1.478404E-06
   4.300000E-02   4.378822E-01   2.572920E-05   9.891657E-01   1.517819E-06
   4.400000E-02   4.544082E-01   2.572986E-05   9.878671E-01   1.557266E-06
   4.500000E-02   4.737830E-01   2.573039E-05   9.863697E-01   1.597838E-06
   4.600000E-02   4.962485E-01   2.573087E-05   9.846084E-01   1.640913E-06
   4.700000E-02   5.234314E-01   2.573124E-05   9.825120E-01   1.688211E-06
   4.800000E-02   5.568109E-01   2.573153E-05   9.799634E-01   1.742069E-06
   4.900000E-02   5.829582E-01   2.573234E-05   9.773429E-01   1.802777E-06
   5.000000E-02   5.968676E-01   2.573360E-05   9.753976E-01   1.866916E-06
   5.100000E-02   6.098306E-01   2.573443E-05   9.740731E-01   1.931513E-06
   5.200000E-02   6.245451E-01   2.573501E-05   9.728011E-01   1.996332E-06
   5.300000E-02   6.412545E-01   2.573553E-05   9.713612E-01   2.062477E-06
   5.400000E-02   6.609344E-01   2.573593E-05   9.697007E-01   2.131682E-06
   5.500000E-02   6.842076E-01   2.573624E-05   9.677485E-01   2.206109E-06
   5.600000E-02   7.126688E-01   2.573643E-05   9.654154E-01   2.288640E-06
   5.700000E-02   7.401280E-01   2.573681E-05   9.628446E-01   2.381324E-06
   5.800000E-02   7.521629E-01   2.573790E-05   9.608109E-01   2.480961E-06
   5.900000E-02   7.612000E-01   2.573873E-05   9.596216E-01   2.582653E-06
   6.000000E-02   7.726120E-01   2.573916E-05   9.586803E-01   2.685437E-06
   6.100000E-02   7.851945E-01   2.573961E-05   9.576493E-01   2.790367E-06
   6.200000E-02   8.003388E-01   2.573994E-05   9.564969E-01   2.899432E-06
   6.300000E-02   8.181692E-01   2.574019E-05   9.551609E-01   3.015228E-06
   6.400000E-02   8.401006E-01   2.574031E-05   9.535818E-01   3.141219E-06
   6.500000E-02   8.659469E-01   2.574035E-05   9.517117E-01   3.281772E-06
   6.600000E-02   8.756046E-01   2.574122E-05   9.501543E-01   3.434099E-06
   6.700000E-02   8.809836E-01   2.574199E-05   9.493664E-01   3.590872E-06
   6.800000E-02   8.890475E-01   2.574227E-05   9.488662E-01   3.750442E-06
   6.900000E-02   8.975854E-01   2.574265E-05   9.483434E-01   3.913987E-06
   7.000000E-02   9.083158E-01   2.574290E-05   9.478019E-01   4.083771E-06
   7.100000E-02   9.207643E-01   2.574311E-05   9.471962E-01   4.262741E-06
   7.200000E-02   9.362375E-01   2.574321E-05   9.465070E-01   4.454799E-06
   7.300000E-02   9.554646E-01   2.574320E-05   9.456918E-01   4.665526E-06
   7.400000E-02   9.649792E-01   2.574370E-05   9.449889E-01   4.893630E-06
   7.500000E-02   9.689125E-01   2.574431E-05   9.446497E-01   5.131040E-06
   7.600000E-02   9.738253E-01   2.574458E-05   9.445135E-01   5.374544E-06
   7.700000E-02   9.792936E-01   2.574486E-05   9.444186E-01   5.625191E-06
   7.800000E-02   9.860941E-01   2.574507E-05   9.443661E-01   5.885390E-06
